Age,Gender,Sleep Duration,Quality of Sleep,Physical Activity Level,Work Hours,Screen Time,Stress Level
23,Female,5.11,Average,Low,8.89,8.43,Medium
35,Female,7.41,Good,Low,8.22,10.0,High
47,Female,6.6,Good,High,10.22,10.0,High
39,Female,4.96,Poor,Low,9.6,4.37,Medium
50,Female,7.13,Average,Low,8.65,6.22,High
47,Male,5.37,Poor,Moderate,8.58,5.24,Medium
34,Female,7.78,Good,Moderate,7.2,5.79,Low
49,Female,5.65,Good,Low,8.73,7.7,Medium
59,Female,4.71,Average,Moderate,12.0,10.0,High
31,Male,8.34,Good,Low,5.36,7.26,Low
27,Female,6.72,Good,Moderate,8.39,8.41,Medium
53,Male,7.54,Average,High,9.1,9.04,Low
51,Female,5.48,Average,Low,7.19,7.75,High
26,Male,4.23,Good,High,11.29,7.27,Medium
59,Male,8.51,Good,Low,6.62,4.52,Low
45,Male,6.49,Poor,High,7.69,8.07,Medium
28,Female,7.09,Average,Moderate,9.37,8.57,High
31,Female,7.29,Good,Low,9.77,9.29,High
56,Male,6.1,Poor,Moderate,9.69,10.0,High
36,Female,6.77,Good,Low,7.87,6.47,Low
32,Male,8.41,Good,Moderate,4.85,4.84,Low
45,Female,6.46,Poor,Moderate,8.76,8.5,High
41,Female,7.63,Good,High,7.19,4.48,Low
25,Male,4.11,Average,Low,10.78,7.34,High
26,Male,7.85,Good,Low,6.55,8.63,Medium
50,Female,4.67,Poor,High,9.63,8.3,High
50,Male,7.71,Good,Low,7.32,6.39,Low
36,Male,6.97,Good,Low,6.55,6.95,Medium
20,Female,6.38,Average,Moderate,9.86,6.4,Medium
27,Male,6.38,Poor,High,7.7,6.93,High
57,Female,6.2,Good,Moderate,8.93,7.39,Medium
59,Female,5.52,Average,Low,9.09,8.91,High
18,Male,6.25,Poor,Moderate,9.53,5.51,High
46,Male,9.0,Good,High,6.71,5.5,Low
51,Male,8.06,Good,Low,7.55,6.59,Low
30,Female,5.45,Average,Low,8.15,6.98,Medium
18,Male,6.82,Good,Moderate,7.95,9.14,High
51,Female,6.62,Good,Low,10.3,8.03,Low
46,Male,6.33,Good,High,8.26,10.0,Medium
30,Male,5.3,Good,Moderate,10.96,10.0,High
46,Female,7.04,Good,Moderate,7.95,6.84,Low
56,Male,7.52,Average,Moderate,7.11,7.88,Medium
41,Male,5.5,Average,Moderate,9.72,9.89,High
43,Female,8.85,Good,Moderate,5.15,5.14,Low
34,Male,8.33,Good,High,7.75,9.15,Medium
24,Male,7.16,Average,Low,6.82,5.31,Low
30,Female,5.02,Average,Moderate,10.64,10.0,High
22,Male,6.98,Average,High,9.31,8.36,Low
43,Male,6.84,Poor,Moderate,8.67,8.5,High
20,Female,7.12,Good,Moderate,7.2,7.38,Medium
24,Male,8.41,Good,Moderate,6.81,6.79,Low
56,Male,6.29,Good,Low,7.83,10.0,High
18,Male,8.96,Good,High,5.79,5.18,Low
34,Female,6.99,Average,Moderate,7.38,5.98,Low
42,Male,6.15,Average,Moderate,7.94,7.43,Medium
20,Female,9.0,Good,High,6.76,8.69,Low
32,Male,7.5,Average,Moderate,8.68,8.13,Medium
46,Male,5.95,Average,Moderate,10.31,9.11,High
49,Male,6.6,Good,Low,8.69,7.25,Medium
43,Male,7.26,Average,Moderate,9.5,7.92,Medium
33,Male,6.32,Good,Low,7.87,9.11,Medium
42,Male,6.66,Good,Low,9.88,8.82,Low
45,Male,5.52,Poor,High,10.57,9.78,High
26,Male,4.48,Poor,Moderate,10.57,8.35,High
18,Male,6.63,Average,Low,8.64,9.21,Medium
46,Female,6.67,Poor,Moderate,9.57,10.0,High
39,Male,7.13,Good,Moderate,8.66,6.67,Low
33,Female,5.81,Good,Low,9.5,7.3,Medium
58,Female,4.89,Average,Moderate,9.57,7.43,High
58,Male,5.34,Average,Moderate,8.55,9.54,High
24,Female,7.77,Average,Low,7.36,5.71,Low
31,Female,5.7,Good,High,7.93,7.03,Low
46,Female,5.97,Average,Moderate,9.91,7.46,Medium
36,Female,6.13,Poor,High,6.74,9.26,High
36,Male,5.76,Average,High,9.61,7.93,Medium
19,Female,5.67,Average,High,9.0,10.0,Medium
58,Male,5.45,Average,Low,9.02,8.27,High
32,Female,8.18,Average,Low,6.49,5.8,Medium
20,Female,7.32,Good,Low,4.22,6.15,Low
28,Female,8.0,Good,High,6.47,6.47,Low
47,Male,8.24,Good,Moderate,5.72,8.12,Low
57,Male,4.0,Poor,Low,9.97,8.65,High
35,Male,6.91,Average,Moderate,11.84,9.61,Medium
19,Male,5.8,Average,High,7.53,6.59,Medium
49,Female,7.84,Average,Moderate,7.64,9.21,Medium
25,Male,5.61,Average,Moderate,8.44,8.28,Medium
39,Female,5.24,Average,Moderate,8.67,6.96,High
23,Male,4.78,Average,High,8.6,5.87,Low
29,Female,6.14,Poor,Moderate,10.21,9.46,Medium
57,Female,7.6,Good,Moderate,8.85,6.79,Low
53,Male,6.81,Average,Low,7.45,4.56,Low
32,Female,5.06,Average,Moderate,11.03,10.0,High
45,Female,9.0,Good,High,4.76,3.48,Low
35,Female,7.28,Average,Low,7.24,4.39,Low
19,Female,7.43,Good,High,8.38,7.66,Low
30,Female,8.04,Good,High,5.76,5.58,Low
32,Male,4.53,Poor,Moderate,9.58,7.4,High
37,Male,5.41,Good,High,9.62,9.06,Low
46,Female,7.49,Good,Moderate,7.55,6.84,Low
59,Female,5.53,Average,Low,8.18,10.0,High
46,Male,6.17,Average,Moderate,11.51,9.77,High
20,Male,6.41,Good,High,7.58,5.4,Low
36,Male,4.97,Poor,Moderate,11.17,10.0,High
20,Female,6.07,Good,Moderate,9.65,9.33,Medium
31,Female,7.6,Average,Moderate,6.43,6.0,Medium
57,Male,7.38,Good,Moderate,8.18,5.23,Medium
21,Male,7.84,Average,High,6.15,8.62,Medium
28,Male,7.71,Average,Low,7.38,5.27,Low
48,Female,6.99,Average,Moderate,9.0,9.63,Medium
49,Female,6.89,Good,High,7.44,9.06,Low
44,Female,6.8,Good,High,8.69,7.62,Medium
47,Male,5.75,Good,Low,8.56,9.31,High
19,Female,5.26,Average,Moderate,9.95,10.0,High
26,Male,5.67,Average,High,9.46,7.01,Medium
45,Male,6.11,Poor,High,8.45,10.0,Medium
48,Male,5.71,Good,High,7.09,7.46,Low
51,Female,7.0,Good,Low,8.94,5.01,Medium
32,Female,6.74,Average,Moderate,10.65,9.75,High
42,Female,6.87,Good,High,8.3,6.97,Medium
53,Female,6.92,Good,Moderate,7.34,7.81,Low
25,Female,7.93,Average,Low,7.32,6.16,Medium
26,Female,6.49,Poor,Moderate,9.89,7.97,High
54,Male,7.71,Good,High,8.83,6.63,Low
56,Male,7.12,Good,High,8.97,8.62,Low
49,Female,7.86,Good,Moderate,7.67,8.15,Low
34,Female,8.44,Good,Low,7.37,7.15,Low
52,Female,7.19,Good,High,7.95,7.12,Low
54,Male,6.62,Good,Low,7.23,7.21,Medium
36,Female,6.62,Good,Moderate,7.93,9.14,Medium
46,Male,5.94,Good,High,8.67,6.51,Low
24,Female,5.9,Good,High,9.45,6.61,Low
45,Male,7.58,Good,Low,5.3,3.91,Low
26,Male,5.34,Poor,High,10.27,6.73,High
45,Female,8.44,Good,Low,4.14,3.38,Low
23,Male,6.32,Good,Moderate,9.17,10.0,Medium
46,Male,9.0,Good,Low,7.4,4.63,Low
34,Male,5.67,Poor,Moderate,10.4,8.9,High
33,Male,6.8,Good,Low,7.13,7.99,Low
40,Female,6.08,Average,Low,9.67,8.79,High
48,Male,5.55,Average,Moderate,10.3,10.0,High
20,Male,7.78,Good,Moderate,9.27,7.62,Low
38,Male,5.17,Average,High,10.27,8.45,Medium
43,Female,5.69,Poor,High,10.54,8.79,High
53,Female,7.2,Average,Moderate,7.28,7.93,Medium
59,Male,7.39,Good,Low,6.59,10.0,Medium
54,Female,4.83,Average,Moderate,11.21,9.84,High
39,Female,7.2,Good,Moderate,8.85,7.84,Low
59,Female,6.65,Good,High,7.59,5.87,Low
29,Female,5.4,Good,Moderate,8.15,10.0,Medium
59,Female,5.55,Poor,Moderate,9.6,8.14,High
30,Female,4.06,Poor,Low,10.99,8.77,High
28,Female,8.56,Good,Low,6.72,6.39,Low
33,Male,7.72,Good,Moderate,8.34,10.0,Medium
25,Male,4.95,Poor,Moderate,11.28,9.05,High
57,Male,7.46,Average,High,7.55,7.25,High
57,Female,5.81,Poor,Low,8.0,3.83,Medium
19,Male,7.6,Poor,High,6.53,8.04,Medium
47,Female,5.9,Average,Moderate,8.38,7.44,Medium
47,Female,6.06,Good,Low,8.8,9.53,High
29,Male,6.15,Average,Moderate,8.23,8.71,High
27,Male,5.71,Average,Moderate,9.0,8.54,High
28,Male,8.18,Good,Low,6.91,6.16,Low
32,Male,7.58,Average,Low,6.65,6.75,Low
33,Female,6.63,Average,Moderate,8.76,6.12,Medium
34,Male,7.73,Good,Moderate,9.46,8.96,Low
43,Male,4.55,Average,Low,10.25,10.0,High
19,Female,5.03,Good,Low,9.15,8.53,Medium
29,Female,7.07,Good,Low,8.3,7.86,Medium
43,Female,7.38,Good,Low,6.67,5.76,Low
40,Female,6.84,Good,High,7.98,7.35,Low
35,Female,4.24,Poor,High,9.95,7.32,High
49,Male,5.23,Good,Low,8.49,7.12,Medium
55,Male,7.0,Average,Moderate,6.95,9.96,High
20,Female,9.0,Good,High,5.21,5.78,Low
55,Male,7.96,Good,High,5.79,6.78,Medium
20,Female,8.39,Good,Moderate,8.14,7.66,Low
47,Male,6.91,Average,Low,8.61,8.13,Low
18,Male,6.9,Good,High,9.23,8.66,Medium
47,Male,5.26,Good,Low,8.11,7.32,Medium
49,Male,7.64,Average,Low,7.01,7.8,Medium
45,Male,6.41,Good,Moderate,9.09,7.29,Medium
38,Female,7.33,Good,Low,9.65,6.53,Medium
30,Male,6.54,Average,Moderate,7.56,7.59,Low
44,Male,6.83,Average,Low,6.63,8.32,High
53,Male,6.39,Average,Low,8.84,7.21,High
24,Male,6.77,Good,Moderate,7.42,8.37,Medium
39,Female,7.7,Good,Low,9.35,9.55,Medium
27,Female,4.98,Good,Low,10.67,10.0,High
56,Female,4.71,Poor,Moderate,9.95,10.0,High
32,Male,7.01,Good,Moderate,7.65,8.23,Medium
32,Female,8.23,Good,Low,6.62,6.45,Low
21,Female,8.53,Good,High,4.28,2.57,Low
49,Female,5.03,Good,High,10.02,10.0,Medium
40,Female,6.02,Average,Low,8.4,9.58,High
23,Male,4.72,Poor,Low,11.04,9.34,High
41,Male,5.84,Average,High,8.08,8.18,Medium
37,Male,7.85,Good,Moderate,7.97,6.04,Low
54,Male,6.48,Good,High,9.17,7.52,Medium
37,Female,6.05,Average,Low,9.14,6.42,Low
29,Male,7.15,Good,Low,9.35,8.95,Medium
50,Male,5.55,Poor,High,7.19,6.43,Medium
45,Male,8.41,Good,Moderate,7.12,8.86,Low
25,Female,6.51,Average,Moderate,8.44,8.26,High
18,Female,6.02,Average,Moderate,8.89,8.75,Medium
54,Female,7.2,Average,Moderate,6.62,6.65,Medium
39,Male,7.63,Average,Moderate,5.67,8.34,Medium
23,Male,8.42,Good,Low,7.65,9.53,Low
38,Male,6.25,Average,Low,9.7,8.53,High
49,Male,7.8,Good,High,9.36,9.0,Low
52,Female,6.62,Average,Moderate,10.74,10.0,High
32,Male,5.77,Good,Low,7.37,5.4,Medium
22,Female,5.57,Good,High,9.24,8.92,High
23,Female,5.18,Average,High,10.12,8.56,High
42,Male,5.61,Average,Moderate,10.54,10.0,Medium
57,Female,7.84,Good,High,8.87,9.0,Low
46,Male,7.35,Good,Moderate,6.42,3.89,Low
24,Male,5.01,Average,Low,9.34,7.91,High
57,Male,4.4,Average,High,12.0,10.0,High
30,Male,5.17,Average,Moderate,7.82,8.81,High
55,Female,5.57,Poor,Moderate,8.14,6.13,High
35,Female,6.14,Good,Moderate,9.39,7.1,Low
19,Male,7.91,Good,Low,9.56,8.81,Medium
25,Female,5.84,Good,High,7.15,6.92,Medium
28,Female,8.52,Good,Low,6.55,6.2,Low
50,Female,4.48,Average,Low,11.19,9.23,High
55,Male,6.08,Average,Moderate,10.68,8.59,High
44,Male,7.44,Average,Moderate,8.1,10.0,Medium
37,Male,7.52,Good,Moderate,5.27,5.14,Low
29,Female,6.1,Poor,Low,7.36,6.16,Medium
48,Male,7.7,Good,Low,8.95,9.02,Medium
44,Male,7.47,Good,Low,8.06,7.49,Medium
49,Male,5.68,Good,Moderate,7.97,6.2,Medium
27,Male,6.88,Good,Low,8.71,7.72,High
20,Male,7.34,Good,Moderate,8.03,7.53,Low
44,Male,5.77,Average,Moderate,6.24,7.01,Medium
52,Female,8.53,Good,Low,4.0,5.27,Low
48,Male,5.5,Average,Low,9.87,7.39,High
32,Female,6.67,Good,High,10.77,10.0,Medium
33,Male,5.0,Average,Low,10.32,10.0,High
30,Female,6.62,Average,Moderate,5.44,4.19,Low
52,Female,5.22,Poor,Low,7.85,6.33,Medium
28,Female,6.15,Average,Moderate,9.6,8.46,Medium
38,Male,4.6,Average,Low,11.28,10.0,High
28,Male,7.46,Average,Low,7.31,7.5,Medium
47,Female,6.93,Good,High,7.49,7.18,Low
52,Female,7.8,Good,Low,8.15,5.56,Low
39,Male,6.08,Good,Moderate,10.25,10.0,Medium
55,Male,7.86,Good,High,7.97,6.09,Low
48,Male,6.55,Good,Moderate,7.31,9.14,High
31,Female,6.64,Average,Low,9.44,10.0,High
41,Female,9.0,Good,Low,5.58,4.24,Low
49,Female,5.92,Average,Moderate,8.36,8.38,High
53,Female,7.97,Good,Moderate,6.26,8.42,Low
49,Female,7.08,Good,Low,7.95,8.45,Low
32,Male,5.81,Average,Moderate,9.87,6.36,Medium
52,Female,4.92,Poor,Moderate,7.66,7.31,Medium
20,Female,5.26,Poor,Moderate,8.86,9.45,High
33,Male,7.86,Good,Low,6.59,9.13,Medium
22,Male,8.58,Good,Moderate,7.66,7.16,Low
38,Male,6.61,Good,Moderate,7.35,4.65,Low
27,Female,6.67,Poor,Moderate,7.93,10.0,High
36,Male,7.43,Good,Moderate,8.54,7.79,Low
42,Female,6.59,Poor,Moderate,8.46,10.0,High
21,Male,7.82,Good,Low,9.02,7.93,Medium
46,Female,6.85,Average,High,7.97,8.4,Low
36,Female,6.66,Average,High,10.6,8.39,High
19,Male,5.66,Good,Moderate,11.82,9.27,High
27,Female,5.37,Average,Low,10.18,10.0,High
42,Male,4.0,Poor,Moderate,11.5,10.0,High
37,Female,7.98,Good,Moderate,7.69,7.34,Low
36,Female,6.32,Good,Moderate,9.66,10.0,High
40,Female,6.02,Good,Low,9.13,7.37,Medium
41,Male,4.16,Good,Low,12.0,10.0,High
28,Female,5.73,Average,Low,9.87,9.06,High
51,Male,5.57,Average,Moderate,11.09,8.63,High
45,Female,5.55,Average,Moderate,7.71,6.06,Medium
22,Female,6.9,Good,Low,8.36,5.02,Low
22,Male,6.65,Good,High,9.57,7.25,High
38,Male,4.87,Poor,Low,8.76,10.0,High
29,Female,4.94,Average,High,10.58,6.74,High
21,Female,4.94,Poor,Moderate,10.79,9.5,High
59,Female,8.67,Good,High,8.4,8.11,Low
37,Female,8.29,Good,Low,6.3,6.04,Low
55,Female,5.48,Poor,High,9.77,10.0,High
42,Female,4.13,Poor,Moderate,10.2,8.73,High
31,Male,6.65,Good,Low,8.18,9.16,Medium
28,Female,6.56,Good,High,10.38,10.0,Medium
49,Male,6.88,Good,Moderate,8.08,5.63,Low
28,Female,7.39,Good,High,6.76,8.47,Medium
35,Female,7.04,Good,Moderate,7.74,6.95,Medium
44,Male,5.16,Average,Low,9.22,5.77,Medium
35,Female,6.85,Good,Moderate,7.62,8.04,Medium
40,Female,7.52,Average,Low,6.83,6.35,Medium
28,Male,5.63,Poor,Moderate,8.77,10.0,High
38,Female,6.86,Poor,Low,6.72,8.35,High
22,Male,5.84,Average,Moderate,9.24,7.11,Medium
40,Female,8.9,Good,Low,4.93,6.87,Low
58,Female,4.91,Poor,Low,11.46,8.98,High
42,Male,7.89,Good,Moderate,6.74,4.23,Low
58,Male,4.5,Average,Low,10.99,8.77,High
27,Female,8.65,Good,Moderate,6.84,4.79,Low
39,Male,5.13,Average,Moderate,7.67,7.35,Medium
36,Male,6.73,Average,Low,7.95,10.0,High
18,Male,4.54,Average,Moderate,12.0,10.0,High
24,Female,4.88,Good,High,9.19,9.13,Medium
21,Male,7.58,Good,Moderate,10.15,7.6,Low
18,Male,7.73,Good,Moderate,7.92,6.73,Low
32,Male,6.79,Good,High,8.83,9.0,Medium
57,Male,7.39,Good,Low,7.9,7.43,Low
29,Male,7.75,Good,Low,8.51,6.88,Medium
39,Female,5.68,Average,Low,10.64,10.0,High
39,Female,4.82,Average,Moderate,10.16,9.32,High
34,Female,6.48,Good,Low,8.0,10.0,High
46,Female,5.81,Average,Moderate,7.48,8.22,Low
31,Female,6.97,Average,Low,9.01,6.61,Medium
37,Male,7.16,Good,Moderate,7.92,7.72,Medium
50,Male,5.68,Good,Low,8.31,6.01,Medium
32,Female,7.34,Poor,Moderate,6.96,9.88,Low
29,Male,7.28,Good,Moderate,7.64,5.86,Low
57,Male,7.37,Good,Low,6.45,8.19,Medium
37,Male,6.01,Average,High,9.05,9.77,High
47,Female,7.44,Good,High,5.62,4.91,Low
55,Male,7.12,Good,High,7.24,7.56,Low
20,Male,7.27,Good,Low,6.34,6.82,Low
45,Female,8.51,Good,High,6.73,7.96,Low
43,Female,6.89,Average,High,6.94,7.12,Medium
47,Male,5.77,Average,Low,8.56,6.99,Medium
30,Male,5.17,Good,Low,12.0,10.0,High
30,Female,7.85,Good,High,8.19,8.58,Low
19,Female,6.93,Average,Low,8.79,6.76,Medium
54,Male,8.5,Good,Low,8.06,4.18,Low
55,Male,4.06,Poor,Moderate,11.55,10.0,High
19,Female,7.59,Good,Moderate,5.72,6.56,Low
53,Male,6.19,Average,Moderate,7.23,7.71,High
43,Female,6.08,Average,Low,5.67,7.95,Medium
28,Female,5.58,Average,Low,9.66,10.0,High
25,Female,7.58,Good,Low,6.15,8.25,Medium
57,Male,7.24,Average,Low,7.08,8.13,Medium
39,Male,5.13,Average,High,9.49,8.86,Medium
37,Female,6.7,Good,High,7.57,5.45,Low
25,Female,7.35,Good,High,7.61,9.64,Low
46,Female,6.71,Average,Low,7.95,7.25,High
57,Female,7.83,Good,Moderate,6.71,5.79,Low
43,Male,6.15,Good,Low,6.99,7.85,Medium
47,Female,4.0,Poor,Low,11.29,7.15,High
34,Female,6.72,Average,High,10.89,8.51,Medium
37,Female,6.72,Good,Moderate,8.61,7.08,Low
33,Male,6.87,Average,Moderate,10.85,8.61,High
24,Female,7.83,Good,Moderate,6.49,9.45,Medium
33,Female,4.16,Average,High,10.54,9.25,High
44,Female,6.21,Good,High,8.77,7.18,Low
40,Female,5.39,Average,Moderate,9.41,8.51,High
41,Female,5.05,Average,Moderate,11.35,10.0,High
26,Male,6.41,Good,Moderate,5.96,3.31,Low
52,Male,7.34,Good,Moderate,7.11,7.15,Low
37,Male,6.86,Average,High,10.14,8.42,Low
54,Female,5.67,Good,High,8.73,8.52,Medium
59,Female,6.33,Average,Low,9.78,7.13,Medium
34,Male,7.62,Good,High,8.1,7.4,Low
48,Female,7.32,Good,Moderate,7.59,7.11,Low
25,Male,5.84,Good,Low,9.54,6.77,Medium
32,Female,5.76,Good,Low,9.14,10.0,High
48,Male,4.44,Poor,Low,8.01,8.23,High
47,Male,5.98,Good,Low,9.57,10.0,High
37,Female,4.42,Average,Moderate,9.84,8.36,High
56,Female,8.98,Good,Low,4.37,5.38,Low
29,Male,5.47,Poor,Moderate,9.99,7.19,Medium
34,Male,7.83,Average,Moderate,7.56,6.33,Medium
59,Female,8.68,Good,Moderate,7.5,5.9,Low
47,Male,6.76,Good,Low,7.93,8.0,Low
46,Female,6.38,Good,Moderate,9.65,10.0,Medium
36,Male,4.91,Average,Low,10.12,10.0,High
28,Female,5.89,Average,Moderate,9.52,10.0,Medium
51,Female,8.42,Good,High,7.09,8.15,Medium
24,Female,6.92,Average,Moderate,6.48,7.17,Low
51,Male,6.53,Good,High,8.92,6.86,Low
37,Female,8.07,Good,Low,7.05,7.42,Low
55,Female,7.34,Average,Low,7.33,6.42,Low
41,Female,6.32,Average,High,8.82,9.42,High
27,Male,6.76,Good,Low,11.3,7.87,Medium
49,Female,5.58,Average,Moderate,7.12,6.82,High
32,Female,5.83,Good,Moderate,9.01,8.33,Medium
54,Female,6.25,Average,Moderate,9.72,10.0,High
37,Female,7.17,Good,Moderate,6.33,4.9,Low
20,Female,5.0,Average,Moderate,10.45,10.0,High
54,Male,6.59,Average,Moderate,8.77,9.37,High
57,Female,6.03,Average,Moderate,7.06,6.56,Low
25,Female,5.42,Poor,Moderate,8.88,8.83,High
57,Male,6.04,Good,High,11.1,9.4,Medium
40,Male,4.0,Poor,Moderate,9.09,8.38,High
57,Male,5.59,Good,Moderate,8.88,9.35,Medium
28,Male,5.18,Poor,Low,9.62,10.0,High
25,Female,6.16,Average,Moderate,8.85,9.64,High
46,Male,4.0,Average,High,10.5,9.72,High
47,Female,6.73,Average,High,8.37,9.99,Low
27,Male,7.59,Good,Low,7.37,5.03,Low
56,Male,6.36,Good,Low,9.49,8.04,Medium
45,Female,7.1,Good,Moderate,8.91,8.34,Low
53,Male,5.88,Average,High,9.65,7.2,Medium
30,Male,4.63,Good,High,10.65,8.64,Medium
49,Female,6.5,Average,Moderate,6.62,4.15,Low
53,Male,7.32,Good,Moderate,7.82,5.56,Low
54,Male,4.91,Poor,Moderate,11.43,9.63,High
43,Male,5.94,Average,Moderate,7.13,5.58,Medium
39,Female,6.2,Good,Moderate,7.22,7.69,Medium
21,Female,9.0,Good,Moderate,7.79,7.85,Low
48,Female,6.77,Good,Moderate,6.43,7.04,Medium
35,Female,4.21,Good,Low,10.67,8.71,High
55,Female,4.0,Poor,Moderate,10.34,10.0,High
41,Male,7.38,Good,Moderate,9.34,9.29,Medium
40,Female,9.0,Good,Moderate,6.36,6.79,Low
39,Male,6.16,Average,Low,9.79,9.2,High
19,Female,6.09,Good,High,8.98,7.97,Low
48,Male,7.02,Good,Low,10.37,10.0,High
28,Female,5.54,Average,Moderate,8.57,9.71,High
45,Female,4.0,Average,Low,11.41,9.44,High
49,Male,7.74,Good,Moderate,8.77,8.39,Medium
22,Male,5.76,Average,High,11.02,9.12,High
55,Male,7.76,Good,High,6.92,10.0,Low
27,Male,5.59,Average,Low,6.98,6.5,High
57,Female,6.65,Average,Low,7.89,9.32,Medium
41,Male,7.53,Good,Low,9.56,10.0,Medium
52,Male,7.78,Good,Low,6.3,6.89,Low
40,Female,6.78,Poor,Low,8.57,5.39,Medium
34,Male,6.72,Good,High,7.91,9.8,Medium
18,Male,7.24,Good,Low,7.67,6.6,Medium
48,Male,7.06,Good,Low,9.51,7.63,Medium
48,Female,4.95,Poor,Low,10.36,10.0,High
59,Male,4.97,Average,Moderate,12.0,8.45,High
59,Female,4.0,Poor,Moderate,12.0,10.0,High
51,Male,7.42,Good,High,7.74,7.08,Low
26,Female,6.03,Good,Moderate,8.86,5.42,Low
39,Female,7.48,Good,Moderate,7.92,8.87,Medium
30,Male,6.98,Good,Low,6.54,3.2,Low
42,Male,5.3,Poor,Low,8.43,7.83,High
35,Male,6.36,Good,Moderate,9.55,6.23,Medium
29,Male,5.95,Average,Low,10.15,8.61,Medium
57,Male,5.77,Good,Moderate,7.64,8.39,Medium
34,Male,7.6,Poor,High,8.43,8.53,Medium
32,Female,9.0,Good,Moderate,5.79,6.36,Low
59,Female,7.84,Good,Low,6.16,7.83,Low
32,Male,6.47,Average,Moderate,8.15,7.7,Medium
32,Female,8.01,Good,Low,8.06,7.32,Low
56,Male,8.56,Good,Low,7.17,7.45,Low
30,Male,4.83,Poor,Moderate,10.53,8.38,High
34,Female,7.97,Good,Low,7.48,8.53,Low
49,Male,7.42,Average,Low,6.21,6.45,Low
26,Female,7.93,Good,Low,7.73,8.48,Medium
57,Male,7.48,Poor,Low,6.97,6.61,Medium
37,Female,6.23,Average,Moderate,11.2,10.0,High
43,Male,8.94,Good,High,5.6,6.92,Low
44,Female,6.91,Average,Low,10.76,6.5,High
38,Female,5.98,Good,Moderate,8.83,5.99,Medium
35,Male,7.11,Good,Low,7.78,6.61,Medium
30,Male,7.67,Good,High,6.98,6.69,Low
33,Female,6.61,Poor,Low,6.88,8.73,High
26,Male,6.97,Good,Moderate,9.62,9.41,Medium
29,Male,6.61,Good,Low,8.51,8.74,Medium
55,Male,5.71,Average,High,10.04,10.0,High
36,Male,5.51,Average,Moderate,11.43,10.0,High
24,Male,4.82,Poor,Low,10.02,7.5,High
52,Male,8.32,Good,Low,6.57,8.45,Low
35,Female,6.23,Average,Moderate,8.94,8.42,Medium
33,Female,4.0,Poor,Low,9.46,7.85,High
56,Male,6.98,Good,Low,5.83,5.64,Low
21,Female,6.95,Good,High,6.25,5.44,Low
42,Male,4.26,Average,Moderate,12.0,10.0,High
49,Female,5.5,Average,Low,9.11,8.25,High
57,Male,5.45,Good,High,10.49,10.0,High
30,Male,5.61,Good,Moderate,9.08,10.0,Medium
34,Male,7.96,Good,High,5.15,5.0,Low
54,Female,6.32,Good,Moderate,9.72,6.86,Medium
23,Male,5.99,Average,High,7.94,8.56,Medium
36,Male,7.85,Good,Low,7.85,8.91,Medium
30,Female,7.09,Average,Low,9.02,8.88,Medium
43,Female,4.41,Average,Moderate,10.54,7.07,Medium
31,Male,5.76,Poor,Moderate,9.81,7.68,High
48,Female,6.89,Good,Low,6.4,6.7,Medium
21,Female,5.38,Good,Moderate,12.0,9.48,Medium
56,Male,8.94,Good,High,6.59,5.12,Low
25,Male,6.64,Good,High,9.3,10.0,Medium
42,Male,5.6,Good,Low,10.52,7.86,High
30,Male,5.15,Average,Moderate,9.68,10.0,High
49,Female,7.61,Good,Moderate,7.48,7.86,Medium
55,Male,5.72,Average,Moderate,10.58,10.0,High
55,Male,6.96,Good,Moderate,7.6,9.03,Low
45,Male,5.12,Average,Moderate,10.35,8.21,High
47,Female,6.58,Good,High,8.98,7.84,Medium
20,Male,5.74,Average,Low,8.38,8.57,High
45,Male,6.12,Average,High,9.41,5.81,Medium
20,Male,5.54,Average,Low,7.43,9.68,High
51,Female,7.73,Good,Low,8.37,8.03,Low
33,Male,5.91,Average,Low,10.97,8.27,High
39,Male,6.33,Poor,Moderate,9.76,10.0,High
49,Male,6.39,Poor,Low,10.41,9.42,High
55,Male,8.43,Good,Moderate,5.66,4.88,Low
25,Female,7.57,Good,Low,7.16,8.43,Medium
25,Female,7.45,Good,Moderate,7.7,3.9,Low
23,Male,4.61,Average,High,10.54,10.0,High
31,Female,5.71,Poor,Moderate,8.77,10.0,High
49,Female,7.93,Good,Moderate,5.97,4.93,Low
52,Male,5.09,Good,High,11.98,8.46,Medium
27,Male,6.6,Good,High,7.4,7.81,Low
20,Female,5.22,Average,Low,11.77,9.22,High
29,Male,5.34,Good,High,10.25,10.0,Low
48,Male,8.52,Good,Moderate,6.72,5.91,Low
46,Male,7.36,Good,Low,8.29,7.51,Low
22,Male,7.68,Good,Low,9.15,9.19,Medium
42,Female,7.44,Good,Moderate,4.41,2.36,Low
58,Male,6.33,Poor,Moderate,9.1,8.46,High
48,Female,5.67,Average,High,9.51,10.0,High
38,Male,6.02,Average,Low,9.2,8.32,High
37,Male,6.27,Good,Low,9.86,7.18,Medium
56,Female,8.63,Good,Low,5.64,5.3,Low
39,Female,4.9,Poor,Low,8.72,5.23,High
21,Female,5.84,Poor,Low,7.5,6.81,High
30,Female,5.4,Average,Low,8.51,9.62,High
59,Male,7.77,Good,Moderate,8.05,6.7,Medium
37,Male,8.72,Good,Moderate,6.89,7.87,Low
30,Female,6.87,Good,Moderate,9.19,6.21,Low
34,Male,6.97,Average,Low,7.48,10.0,Medium
